fad_delta,channel_ratio,incident_rate,length,segment size,fit_ref,flux_correction,smoothing,smoothing length,delta clean,CS,PDS 1,PDStot,Frac_rms,slope,intercept
-0.0008199083222526493,1.9671543395351125,976.1356059455327,512.0,128.0,pds,False,gauss,640.0,0.002297119248849321,0.0075716805461768,0.3106929309293019,0.010702501527573271,0.21270740635348478,1.0209756838887767,0.002564066196510839
-0.0015041662858098492,1.3288681037014964,832.6748343075182,256.0,64.0,cs,False,gauss,384.0,-0.0009101180943893676,0.05936608842658652,0.21477218866916015,0.060034842304217885,0.16098951351978477,1.103182367694645,0.002449940772921253
0.0008611402673627479,1.5902313456212585,485.982300708607,256.0,128.0,cs,False,gauss,640.0,-0.002039566405756233,0.06598678276073394,0.32914265010603583,0.04668732621537057,0.10542414161691122,1.0198357424410764,0.002543327037829446
0.0014224395983581716,1.9397003989848316,423.5385342645674,512.0,256.0,cs,False,gauss,1280.0,0.0085387133565749,-0.07735376756468469,0.4681819495856581,-0.09682575473182048,0.0841516646734378,0.9271786742043275,0.0027036451293003735
0.0022749080887043416,1.2847962995933355,138.63949693806987,512.0,128.0,cs,False,gauss,640.0,0.0028513928016173336,-0.0001496555450250771,0.10644579913589317,-0.011768876145716745,0.16170166083767895,0.9636691073131151,0.002877734988623759
-0.0004223808914043811,1.1699490678940823,995.460304436688,256.0,128.0,cs,False,gauss,640.0,1.5151245831543255e-05,0.34937087984138226,0.4010435655170777,0.34886803342978356,0.34792938095135617,1.8555508731430306,0.0019781606468724125
-0.00018149998404449628,1.20528030817325,435.1883580587155,512.0,64.0,cs,False,gauss,320.0,0.00651798078300152,-0.09184819731362531,0.10176173183600278,-0.12022803746604313,0.062273686098116024,0.9787005843264502,0.002561172751168961
0.002366305918265262,0.6395860548454732,177.73313270147142,256.0,128.0,cs,False,gauss,640.0,0.008038587468988294,0.0819867239080765,0.009458977174129685,0.07116013488349807,0.3376413147510791,1.161337817506649,0.0017794423636657841
0.0002123206857760861,1.9470374676074658,340.8055193861247,256.0,128.0,cs,False,gauss,640.0,0.0005608814139215328,0.07867430468786842,0.30214949541088415,0.05930567684895343,0.228457718651655,1.1503397833757523,0.0023481446158251096
-0.0008133963099455505,1.4178276074563434,307.4049321836373,512.0,256.0,cs,False,gauss,1536.0,-0.0009522704742001031,0.2102848999211839,0.30077827745141655,0.20665379765639877,0.3325747631655457,1.4681390706481614,0.0015183901914301856
0.0006346673469874637,0.6344228563228671,913.75282655508,256.0,128.0,cs,False,gauss,768.0,0.025955381014433527,-0.13666081827516624,nan,-0.14059157565511346,0.04745510879031849,1.1101195343877555,0.0023793271047557337
-0.0014206740119622197,1.290011462874066,768.4536427939479,512.0,128.0,cs,False,gauss,768.0,-0.0006362256185391908,-0.1258586835820352,0.5292456977541151,-0.12108684171833657,0.040863716396206486,0.904100487138751,0.0026147939709110883
0.002394417996789504,0.6770209341430695,288.5271237964704,512.0,64.0,cs,False,gauss,320.0,0.023909450848149466,-0.12542898192227644,nan,-0.2399918673004383,0.04989861251837086,0.9572242003995163,0.0027381560146666484
0.0030769501997858217,1.775849367695215,603.0379434561595,256.0,64.0,cs,False,gauss,320.0,0.0178758309800521,-0.06091358280885203,0.7074879119488692,-0.17208766927848465,0.05195041293895195,0.9844275852347741,0.0025690566035982965
-0.0014843811246084693,1.3610843363604288,119.9112669704019,256.0,64.0,cs,False,gauss,384.0,-0.0015887183798909182,0.046465538763215526,0.15456126696004124,0.05225652167171989,0.2660183527813639,1.0758160309688598,0.00218110296629892
0.003135378771199404,1.2521790883524,864.3324883214378,512.0,128.0,cs,False,gauss,640.0,9.878293917841665e-05,0.009410417824185053,0.08511838602485229,0.007215825161790416,0.08560033994668427,0.960031660717349,0.0025479231765782218
-0.002436518068561675,1.0313089959303308,170.03799686771467,512.0,64.0,cs,False,gauss,320.0,0.00037406062676551943,0.051378804646854,0.059409854203610245,0.050456599706290246,0.25342803327114116,1.100254907851184,0.0021181583915834273
-0.002952599315610427,1.1387058717922733,280.5877838567779,256.0,64.0,cs,False,gauss,384.0,-0.0011891583339386702,0.1369208798619636,0.14117260950346733,0.13618168786512969,0.35958327452527805,1.2832934554326991,0.001841963194239904
0.00012475666536193586,1.3584253336688965,264.82281942117413,512.0,128.0,cs,False,gauss,768.0,-0.0029192524677157995,0.03580717651066728,0.17357198327103257,0.029616645126155694,0.20525943992733517,1.0957427746614599,0.002298221553421853
-0.0003065494917355139,0.5805591438691936,483.38829837529795,256.0,128.0,cs,False,gauss,640.0,0.009892279986683232,-0.010696058990853427,-0.33224557868417537,-0.04143737488191344,0.14206989015015975,0.9961123444408944,0.0026061007183297846
-0.0002707624365117006,0.6279117173291046,911.6156771137597,512.0,64.0,cs,False,gauss,384.0,0.0006472332126126442,0.34200579640518664,0.21441800098390226,0.3365941951763602,0.38903272617976736,1.8203866234017099,0.0017386739808953092
0.00023969068874096777,1.1692840619718146,846.7310988253735,256.0,64.0,cs,False,gauss,320.0,-0.0008544737921630851,0.05080440767051307,0.21909337702785442,0.046739919792410906,0.10086901956417332,1.0509340762235515,0.00245309254507913
0.0016166785415956397,1.9827581513451942,280.71868200954316,512.0,128.0,cs,False,gauss,768.0,-0.004539329775797801,0.06315480092270902,0.27588659336435895,0.04598120126995975,0.22947918740283307,1.124650555932185,0.0024092686529860927
0.0008859242133143486,0.6531734885155057,734.6790407000075,256.0,64.0,cs,False,gauss,384.0,-0.0029463091966487,0.05636662604781581,-0.19813535927562012,0.04753450375053142,0.11541627339867147,1.1167388813612604,0.0023536317199176564
0.0017246416561644828,0.9232739359687472,304.13310955135074,256.0,64.0,cs,False,gauss,320.0,-0.001516559708231529,0.23488741400861943,0.24731643170771198,0.2355603203068096,0.3699534658181117,1.5058840200177617,0.001174869796622402
-0.0006476351324597153,1.3033864620728302,590.9571125738064,256.0,128.0,cs,False,gauss,768.0,-0.012742999392135478,0.10344443435748157,0.22574279285331006,0.09973056180286259,0.1557526275183244,1.1801884020784978,0.002293276438340983
-0.0016354087679510583,1.0837899021582198,522.5171698913246,512.0,256.0,cs,False,gauss,1536.0,-0.025112516185391436,0.070112275718604,0.11537942463014927,0.06326480530402837,0.0880181991336693,1.101692631862002,0.0023292098858733474
-0.00013802165929412044,0.94838177476221,530.3899246472351,512.0,64.0,cs,False,gauss,320.0,0.007486932568406197,0.04836274987122426,-0.02183173969460783,0.039716228968344876,0.11945474182698922,1.0799229904726932,0.002358774311070951
